"Automovel","Bicicleta","Caminhao","Moto","Onibus","Outros","Utilitario","Periodo","Km_cat","Gravemente_feridos_Mortos","Chave"
1,0,0,0,0,0,0,"noturno","(125,150]",1,"NOVADUTRA_BR-116/SP_66001_2011-02-17"
2,0,0,0,0,0,0,"noturno","(225,250]",0,"NOVADUTRA_BR-116/SP_68001_2011-02-17"
2,0,0,0,0,0,0,"noturno","(75,100]",0,"NOVADUTRA_BR-116/SP_69301_2011-02-17"
1,0,0,0,0,0,0,"madrugada","(100,125]",0,"NOVADUTRA_BR-116/SP_4501_2011-02-17"
1,0,0,0,0,0,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_7201_2011-02-17"
2,0,0,0,0,0,0,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP_15501_2011-02-17"
3,0,0,0,0,0,0,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP_15801_2011-02-17"
1,0,0,1,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_35201_2011-02-18"
0,0,0,1,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_37101_2011-02-18"
1,0,0,0,0,0,0,"vespertino","(75,100]",0,"NOVADUTRA_BR-116/SP_39101_2011-02-18"
1,0,1,0,0,0,0,"vespertino","(100,125]",0,"NOVADUTRA_BR-116/SP_40701_2011-02-18"
1,0,0,0,0,0,0,"vespertino","(100,125]",0,"NOVADUTRA_BR-116/SP_51101_2011-02-18"
1,0,1,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_51501_2011-02-18"
1,0,1,0,0,0,0,"vespertino","(50,75]",0,"NOVADUTRA_BR-116/SP_51701_2011-02-18"
1,0,0,0,0,0,0,"vespertino","[0,25]",0,"NOVADUTRA_BR-116/SP_54901_2011-02-18"
4,0,0,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_60701_2011-02-18"
2,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_71701_2011-02-18"
1,0,1,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_82901_2011-02-18"
1,0,1,0,0,0,0,"noturno","(75,100]",0,"NOVADUTRA_BR-116/SP_85601_2011-02-18"
4,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP_85901_2011-02-18"
1,0,0,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_10401_2011-02-18"
0,0,3,0,0,0,0,"manha","(125,150]",0,"NOVADUTRA_BR-116/SP_12301_2011-02-18"
1,0,0,1,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_12501_2011-02-18"
0,0,0,1,0,1,0,"manha","(100,125]",0,"NOVADUTRA_BR-116/SP_15101_2011-02-18"
1,0,0,1,0,0,0,"manha","(200,225]",1,"NOVADUTRA_BR-116/SP_17001_2011-02-18"
0,0,2,0,0,0,0,"manha","(100,125]",0,"NOVADUTRA_BR-116/SP_19501_2011-02-18"
0,0,0,1,0,0,0,"manha","(50,75]",0,"NOVADUTRA_BR-116/SP_22301_2011-02-18"
1,0,2,0,0,0,0,"madrugada","(200,225]",1,"NOVADUTRA_BR-116/SP_901_2011-02-19"
1,0,0,0,0,0,0,"madrugada","(50,75]",0,"NOVADUTRA_BR-116/SP_1701_2011-02-19"
0,0,2,0,0,1,0,"madrugada","(50,75]",0,"NOVADUTRA_BR-116/SP_2101_2011-02-19"
1,0,0,0,0,0,0,"vespertino","[0,25]",0,"NOVADUTRA_BR-116/SP_32501_2011-02-19"
0,0,1,0,0,0,1,"vespertino","(50,75]",0,"NOVADUTRA_BR-116/SP_32701_2011-02-19"
1,0,0,0,0,1,0,"noturno","(150,175]",0,"NOVADUTRA_BR-116/SP_56101_2011-02-19"
0,0,2,0,0,0,0,"madrugada","(25,50]",0,"NOVADUTRA_BR-116/SP_3601_2011-02-19"
1,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_62801_2011-02-19"
1,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP_66801_2011-02-19"
1,0,0,0,0,1,0,"madrugada","(75,100]",0,"NOVADUTRA_BR-116/SP_7201_2011-02-19"
2,0,0,0,0,0,0,"madrugada","(50,75]",0,"NOVADUTRA_BR-116/SP_7701_2011-02-19"
1,0,0,0,0,0,1,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_8801_2011-02-19"
1,0,0,0,0,0,0,"manha","(175,200]",0,"NOVADUTRA_BR-116/SP_25201_2011-02-19"
1,0,0,0,0,0,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP_801_2011-02-20"
1,0,0,0,0,1,0,"madrugada","(225,250]",0,"NOVADUTRA_BR-116/SP_1001_2011-02-20"
1,0,0,0,0,1,0,"vespertino","(50,75]",0,"NOVADUTRA_BR-116/SP_31701_2011-02-20"
0,0,0,1,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_33101_2011-02-20"
1,0,0,0,0,0,0,"vespertino","(50,75]",0,"NOVADUTRA_BR-116/SP_35201_2011-02-20"
2,0,0,0,0,0,1,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_38501_2011-02-20"
1,0,1,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_38601_2011-02-20"
1,0,1,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_43601_2011-02-20"
0,0,0,1,0,0,0,"vespertino","(25,50]",0,"NOVADUTRA_BR-116/SP_44301_2011-02-20"
1,0,0,0,0,0,0,"vespertino","(150,175]",1,"NOVADUTRA_BR-116/SP_45801_2011-02-20"
0,0,1,1,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_47201_2011-02-20"
2,0,0,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_49301_2011-02-20"
2,0,0,0,0,0,0,"noturno","(50,75]",0,"NOVADUTRA_BR-116/SP_52801_2011-02-20"
1,0,0,0,0,0,0,"noturno","(225,250]",0,"NOVADUTRA_BR-116/SP_57001_2011-02-20"
1,0,0,0,0,1,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_2001_2011-02-20"
2,0,0,0,0,0,0,"madrugada","(225,250]",0,"NOVADUTRA_BR-116/SP_3301_2011-02-20"
1,0,0,0,0,0,0,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP_5601_2011-02-20"
1,0,0,0,0,0,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP_6901_2011-02-20"
0,0,0,1,0,0,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP_9201_2011-02-20"
3,0,0,0,0,0,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_9301_2011-02-20"
1,0,0,1,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_9901_2011-02-20"
2,0,0,0,0,0,0,"manha","(100,125]",0,"NOVADUTRA_BR-116/SP_13001_2011-02-20"
1,0,0,0,0,1,0,"manha","(75,100]",0,"NOVADUTRA_BR-116/SP_36701_2011-02-21"
1,0,0,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_42701_2011-02-21"
1,0,1,0,0,0,0,"vespertino","(50,75]",0,"NOVADUTRA_BR-116/SP_50001_2011-02-21"
0,0,0,0,0,0,1,"vespertino","(175,200]",0,"NOVADUTRA_BR-116/SP_50201_2011-02-21"
0,0,0,0,0,0,1,"vespertino","(175,200]",0,"NOVADUTRA_BR-116/SP_47801_2010-12-07"
1,0,1,0,0,0,0,"vespertino","(175,200]",0,"NOVADUTRA_BR-116/SP_49401_2010-12-07"
2,0,0,0,0,1,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_53501_2010-12-07"
3,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP_57601_2010-12-07"
1,0,1,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_65101_2010-12-07"
2,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_67301_2010-12-07"
0,0,2,0,0,0,0,"noturno","(75,100]",0,"NOVADUTRA_BR-116/SP_69701_2010-12-07"
3,0,0,0,0,1,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_72501_2010-12-07"
0,0,1,0,0,0,0,"noturno","[0,25]",0,"NOVADUTRA_BR-116/SP_73101_2010-12-07"
1,0,1,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_77601_2010-12-07"
1,0,0,0,0,0,0,"madrugada","(50,75]",0,"NOVADUTRA_BR-116/SP_3101_2010-12-07"
0,0,2,0,0,0,0,"madrugada","(100,125]",0,"NOVADUTRA_BR-116/SP_3601_2010-12-07"
0,0,0,0,0,0,1,"madrugada","[0,25]",0,"NOVADUTRA_BR-116/SP_6801_2010-12-07"
0,0,1,0,1,0,0,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP_7401_2010-12-07"
0,0,1,0,0,2,0,"madrugada","[0,25]",0,"NOVADUTRA_BR-116/SP_1901_2010-12-08"
1,0,2,0,0,0,1,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP_34801_2010-12-08"
2,0,0,0,0,0,0,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP_35401_2010-12-08"
